0.0  If I ever decide to leave before the three years , will there be a problem ? 	1.0  If you do , I will keep your deductible . 
0.0 I would like to book a taxi leaving after 10:00 from the Cambridge book and print gallery.	1.0 Could you tell me where you would like to go?
0.0  This is your first Christmas in the US . Here is the gift for you . 	1.0  It's very thoughtful of you . Wow , it is so beautiful . Could you tell me how American people celebrate Christmas ? 
0.0 I don't need a room right now, but does the Allenbell have free wifi? And what's their postcode?	1.0 Yes, they have free Wifi. Their postcode is cb13js.
0.0 Yes I would like tickets for 2 people and the reference number please.	1.0 Alrighty, your booking was successful! The total fee is 33 GBP payable at the station, reference number LN7ISGWV . Is there anything else I can help you with today?
0.0  Well , what's your excuse then ? 	1.0  My mother's been ill and I had to stay at home . 
0.0 yes , i do . i love to garden .	1.0 Ok. What about your family?
0.0 And postcode please like I asked before.	1.0 The post code is cb21sj.
0.0  Is there any way to find a roommate to share an apartment with ? 	1.0  Sometimes you can post an advertisement saying that you need a roommate . 
0.0 I do not want to book it at this time.	1.0 Is there anything else I can help you with?
0.0 That is all I need, thank you for your help.	1.0 It was my please. If I can help with anything else just let me know. Have a great trip.
0.0 Is it in the center? If so I'd like to book a table.	1.0 Yes, it is in the centre. When would you like to arrive?
0.0 Do you like chocolates ? 	1.0  It depends . 
0.0 i am not sure	1.0 i could go shopping 🏪 with you if you want
0.0 No thank you, can you book a table for 3 Friday at 18:30?	1.0 Booking was successful. The table will be reserved for 15 minutes. Reference number is : 3DNKJLT9 . Is there anything else I can assist you with today?
0.0 Actually, let's look for the train first, please. I'll be traveling from London Kings Cross to Cambridge on Tuesday and I'd like to arrive by 15:45.	1.0 The TR3456 from London Kings Cross on Tuesday departs at 13:17 and arrives at 14:08. Shall I book that for you?
0.0  You ’ re not allowed to do that . 	1.0  I don ’ t understand . 
0.0 Thank you, that is everything that I need.	1.0 Enjoy the rest of your day.
0.0  It ’ s half past twelve . 	1.0  When do you have lunch ? 
0.0  Do you have any idea why he treats you worse than the others ? 	1.0  I really have no idea . All I know is that the thought of him really curls my hair ! 
0.0 I need the name and phone number for a cantonese restaurant on the west side of town.	1.0 Do you have any preference regarding price range?
0.0  Me neither . All I have to do is study French hard . 	1.0  I wish you the best of luck . 
0.0 Thank you so much for your help.	1.0 Glad to be of assistance. Is there anything else I can help you with today?
0.0 i love green , but it is not my favorite fruit .	1.0 lol i like brown.. brown coffee!
0.0  What ’ s wrong with the check ? 	1.0  I accidentally wrote the check for too much . 
0.0 that's all, thanks!	1.0 Thank you for using our system. Goodbye.
0.0 Actually, can you find a train to birmingham new street for me? I need to leave after 19:45.	1.0 What is your departure site and day of travel?
0.0  See ? I told you . It's very hard . 	1.0  I couldn't even stand on it and hold the sail . I probably fell down fifty times . 
0.0 Can I get a good place for Afternoon tea in the westside?	1.0 I haven't found anything. Are you interested in a specific cuisine?
0.0 I am new in town and I was wondering if you knew any good nightclubs or a hot spot similar to one nearby.	1.0 I have 6 local nightclubs listed. Five are located in he center area and one is in the south. Which are you interested in?
0.0 I would first like to know what their price range and hotel type are, thank you.	1.0 Archway House is a moderately priced guesthouse. Would you like their address or perhaps to book a room there?
0.0 David , what have you been up to lately ? 	1.0  I went on a trip with my family last week . 
0.0 I don't think this is a good idea, but i don't think it's a good idea	1.0 Trabajo?
0.0 has it free parking?	1.0 Yes, the parking is free.
0.0 oh   i feel like i am always busy	1.0 I have to go now. Thank you for this lovely Conversation.
0.0  How about the umbrella ? It's made of wood and paper . It's very beautiful . 	1.0  It's interesting . Let me see . 
0.0 I'm looking for a guesthouse in the east.	1.0 Can I get a price range you are looking for?
0.0 Yes. May I please get a recommendation for a museum in the centre of town?	1.0 I would recommend the Regency Gallery. Do you need anything else?
0.0  What is it ? 	1.0  I would like to plead not guilty . 
0.0  My dad will love this . He's a Dilbert fan . 	1.0  I wouldn't mind having one myself ... 
0.0 Is Cambridge Artworks in the center of town? I have get to liverpool station by 11:30 on Saturday.	1.0 No the museum is in the east, do you want an attraction in the center instead? What station will you be departing from?
0.0 I don't have a price range. I'm looking for a restaurant that serves catalan food.	1.0 I'm sorry, there are no restaurants listed serving catalan food in the north part of town. Would you like to try something else?
0.0 Sure, I need a hotel that is moderately priced that is in the north area.	1.0 I am sorry but the room in that area on Thursday are booked. Shall I try another day for you?
0.0 I also need a taxi to pick me up from Milton Country park by 20:30.	1.0 I can book a taxi for you but will need to know your destination in order to book it for you.
0.0 Can I just get the postcode?	1.0 Sure, the postcode is CB58SX. Is there anything else I can help you with?
0.0 Sounds great,and I will take it!	1.0 Would you like for me to try and make a reservation?
0.0 Can you book the Acorn Guesthouse for Thursday?	1.0 I'll be happy to. How many people in your party? And how many nights will you be staying?
0.0  You know how things get piled up on my desk when I am busy — I know that sometimes I do misplace things , but I always read all the memos that go around . They go directly to my in-box . Are you sure it was sent to the whole office ? 	1.0  It should have gone around to everybody . They also posted a copy of the memo in the break-room . Don't you ever look at the messages posted on the bulletin board ? 
0.0 its my life story sort of . my mom and dad died in a car wreck . what do you like to do ?	1.0 Sorry. I like poetry
0.0 Yes that sounds good may I have the phone number please?	1.0 Sure! The phone number is 01223333200. Anything else for you today?
0.0  I know of a place you'll like and you have got to be there . 	1.0  Good . I'll be there at 12:30 . 
0.0 Perfect. Thank you very much!	1.0 I hope you enjoy your Thai food. Goodbye.
0.0 good	1.0 😃
0.0 I will stay in the west area of town.	1.0 Ok, I will contact the Mariott and get you all set up.
0.0 Thank you so much, that is everything that I need.	1.0 Thank you. Goodbye.
0.0 That would be great.	1.0 okay, what day would you like me to book the reservation for and for how long? How many people should I make it for?
0.0 That's all, thank you for your help. Good-bye.	1.0 Thank you for using our service. Have a great day!
0.0 Do you know a bus I can take from Altadena to downtown LA ? 	1.0  I believe you can take the 486 . 
0.0 Great! I am also looking for a train going to Broxbourne on Thursday.	1.0 Okay! From Cambridge?
0.0 I'm looking for a moderately priced, 1-star place to stay.	1.0 I have many options. Do you have a preference for the area you would like to stay in.
0.0 I need to reserve a table for 8 at 17:30 wednesday and the reference # too	1.0 Your reservation for 8 people at the restaurant alimentum for this wednesday at 17:30 was successful. Your Reference number is : PJH9SVZE .
0.0 What is their phone number	1.0 the phone number is 01223 308681
0.0  Mo Mu , Thong Lichen , Meng Gang and Ran Nv . They were well respected . 	1.0  It seems that the inner beauty is also important . 
0.0  May I do anything else for you ? 	1.0  I would also like to check out these books . 
0.0 Yes. Please select the first train available after 14:30 and book 3 tickets. then provide me the reference number	1.0 Booking was successful, the total fee is 225.3 GBP payable at the station. Reference number is : XMBOA4E1 . Can I help with anything else?
0.0 I like to meet new people online. What do you do for fun?	1.0 i love running
0.0 Hey , May . How about getting together for a movie tonight ? 	1.0  Sure . What's playing ? 
0.0  Yes , we have both the paperback and hardcover . which would you want to buy ? 	1.0  How about the price of the hardcover ? 
0.0 I am also looking for a restaurant. The restaurant should be in the same price range as the hotel and should serve European food.	1.0 Do you have a area preference?
0.0 Hiya!	1.0 What year was an apartment for chopin's apartment?
0.0  Anything else , sir ? 	1.0  Yes . Something non-alcoholic , please . 
0.0  How come you have a locker but I don't ? 	1.0  Mr . Rogers probably forgot to assign a locker to you . 
0.0 i am going	1.0 What do you do for a living?
0.0 What is your work?	1.0 I work for a company.
0.0  Any alternative that works will be great . 	1.0  Well , there's our computer lab on the first floor . 
